"RouteID","RouteDescription","StopID","Sequence","Address","StopType","Pieces","Weight","Remarks","MinimumStopTime","PreferredStopTime","MaximumStopTime","CompletedTime","POD"
"MIA100","SCHEDULED ROUTE","34304884","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/12/2018 9:00:00 AM","2/12/2018 9:30:00 AM","2/12/2018 10:00:00 AM","2/12/2018 10:07:55 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34371231","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","10","10","","2/12/2018 9:06:00 AM","2/12/2018 9:06:00 AM","2/12/2018 9:06:00 AM","2/12/2018 10:59:23 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","34250863","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/9/2018 9:00:00 AM","2/9/2018 9:30:00 AM","2/9/2018 10:00:00 AM","2/9/2018 10:06:03 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34326744","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","19","19","","2/9/2018 9:04:00 AM","2/9/2018 9:04:00 AM","2/9/2018 9:04:00 AM","2/9/2018 11:00:00 AM","Steven beckles"
"MIA100","SCHEDULED ROUTE","34326745","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","11","11","","2/9/2018 9:04:00 AM","2/9/2018 9:04:00 AM","2/9/2018 9:04:00 AM","2/9/2018 11:53:03 AM","Luis patiño"
"MIA100","SCHEDULED ROUTE","34210886","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/8/2018 9:00:00 AM","2/8/2018 9:30:00 AM","2/8/2018 10:00:00 AM","2/8/2018 9:57:01 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33055285","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/3/2018 9:00:00 AM","1/3/2018 9:30:00 AM","1/3/2018 10:00:00 AM","1/3/2018 10:18:00 AM","Jacques belizZaire"
"MIA100","SCHEDULED ROUTE","33112109","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","20","20","","1/3/2018 9:01:00 AM","1/3/2018 9:01:00 AM","1/3/2018 9:01:00 AM","1/3/2018 11:14:00 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","33112112","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","18","17","","1/3/2018 9:01:00 AM","1/3/2018 9:01:00 AM","1/3/2018 9:01:00 AM","1/3/2018 12:14:00 PM","Luis patino"
"MIA100","SCHEDULED ROUTE","33018473","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/2/2018 9:00:00 AM","1/2/2018 9:30:00 AM","1/2/2018 10:00:00 AM","1/2/2018 10:02:00 AM","Jacques belizZaire"
"MIA100","SCHEDULED ROUTE","33066857","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","15","12","","1/2/2018 9:00:00 AM","1/2/2018 9:00:00 AM","1/2/2018 9:00:00 AM","1/2/2018 10:42:00 AM","Alex"
